name,price,rating,category,features
Whirlpool SAI18B52MCD1 1.5 Ton 5 Star Inverter Split AC,"₹24,990",--rating: 4.65;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons', '5 Star Rating']"
Carrier CAI18ER3R34F0 1.5 Ton 3 Star 2024 Inverter Split Ac,"₹22,990",--rating: 4.55;,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '2-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Auto Clean']"
O General ASGG18CGAB-B 1.5 Ton 5 Star Inverter Split AC,"₹67,990",--rating: 4.1;,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Hot And Cold', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Haier HSU18V-POW5BN-INV 1.5 Ton 5 Star 2025 Inverter Split AC,"₹37,990",--rating: 4.55;,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Auto Clean']"
Voltas 183V XAZX 1.5 Ton 3 Star Split Inverter AC,"₹22,990",--rating: 4.55;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']"
Panasonic CS/CU-NU18XKYWA 1.5 Ton 5 Star Inverter Split AC,"₹29,990",--rating: 4.3;,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '5 Star Rating']"
MarQ by Flipakart 073IPG24WQV2 0.75 Ton 3 Star 2025 Inverter Split AC,"₹19,990",--rating: 4.75;,AC,"['Split AC', '0.75 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']"
Daikin MTKL50XV16 1.5 Ton 3 Star 2026 Inverter Split AC,"₹37,490",--rating: 4;,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']"
Daikin MTKM50XV16 1.5 Ton 5 Star 2026 Inverter Split AC,"₹52,990",--rating: 4.15;,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']"
Voltas 183INV Can 1.5 Ton 3 Star 2026 Inverter Split AC,"₹33,989",--rating: 4;,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']"
