,name,price,rating,category,features,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,model_year,is_recent_model,appliance_age,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display
0,Whirlpool SAI18B52MCD1 1.5 Ton 5 Star Inverter Split AC,24990,4.65,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons', '5 Star Rating']",10,Whirlpool,1.5,Ton,5.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Carrier CAI18ER3R34F0 1.5 Ton 3 Star 2024 Inverter Split Ac,22990,4.55,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '2-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Auto Clean']",11,Carrier,1.5,Ton,3.0,1,1,0,0,0,0,2024,1,2,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,O General ASGG18CGAB-B 1.5 Ton 5 Star Inverter Split AC,67990,4.1,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Hot And Cold', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",12,O General,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Haier HSU18V-POW5BN-INV 1.5 Ton 5 Star 2025 Inverter Split AC,37990,4.55,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Auto Clean']",11,Haier,1.5,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Voltas 183V XAZX 1.5 Ton 3 Star Split Inverter AC,22990,4.55,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']",11,Voltas,1.5,Ton,3.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Panasonic CS/CU-NU18XKYWA 1.5 Ton 5 Star Inverter Split AC,29990,4.3,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons', '5 Star Rating']",9,Panasonic,1.5,Ton,5.0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MarQ by Flipakart 073IPG24WQV2 0.75 Ton 3 Star 2025 Inverter Split AC,19990,4.75,AC,"['Split AC', '0.75 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']",12,MarQ,0.75,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Daikin MTKL50XV16 1.5 Ton 3 Star 2026 Inverter Split AC,37490,4.0,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",11,Daikin,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Daikin MTKM50XV16 1.5 Ton 5 Star 2026 Inverter Split AC,52990,4.15,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",11,Daikin,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Voltas 183INV Can 1.5 Ton 3 Star 2026 Inverter Split AC,33989,4.0,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']",12,Voltas,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
